"Last updated May 5, 2020",,,,,,,,,
Table 1. U.S. International Trade in Goods and Services,,,,,,,,,
"Exports, Imports, and Balances",,,,,,,,,
2020Jan,-45482,-67122,21640,208307,136251,72056,253790,203374,50416
2020Feb,-39810,-61045,21235,207747,137326,70421,247557,198370,49186
2020Mar,-44415,-65599,21184,187745,128110,59636,232160,193709,38451
,,,,,,,,,
(R)Revised,,,,,,,,,
1 Data are presented on a balance of payments basis.  Detailed information on goods can be viewed at:,,,,,,,,,
www.bea.gov/international/detailed-trade-data,,,,,,,,,
"For information on data sources and methodology, see the explanatory notes in ""U.S. International Trade in Goods and Services"" at:",,,,,,,,,
www.bea.gov/data/intl-trade-investment/international-trade-goods-and-services,,,,,,,,,
BEA's full set of statistics for the U.S. international economic accounts can be viewed at:,,,,,,,,,
www.bea.gov/data/economic-accounts/international,,,,,,,,,
